order_id,customer_id,age,city,product_category,product_name,price,quantity,discount_pct,purchase_amount,payment_method,device,session_duration_mins,order_time,returned
ORD0001,C038,33.0,Bengaluru,Fashion,Running Shoes,3200,1,0.1,2880.0,UPI,Tablet,47,2026-02-15 13:31,No
ORD0002,C013,45.0,Hyderabad,Fashion,Denim Jeans,2200,1,0.1,1980.0,UPI,Mobile App,41,2026-02-21 12:40,No
ORD0003,C020,44.0,Coimbatore,Fashion,Denim Jeans,2200,1,0.1,1980.0,UPI,Mobile App,43,2026-02-18 15:50,No
ORD0004,C027,20.0,Bengaluru,Electronics,Headphones,4200,1,0.0,4200.0,UPI,Mobile App,49,2026-02-24 20:23,No
ORD0005,C003,50.0,Coimbatore,Home & Living,Desk Lamp,1400,1,0.0,1400.0,Net Banking,Mobile App,39,2026-02-24 19:36,No
ORD0006,C020,48.0,Chennai,Fashion,Denim Jeans,2200,3,0.0,6600.0,Credit Card,Desktop,58,2026-03-07 20:56,Yes
ORD0007,C039,28.0,Chennai,Home & Living,Cookware Set,4200,1,0.0,4200.0,Net Banking,Tablet,50,2026-03-08 16:56,No
ORD0008,C022,37.0,Kochi,Home & Living,Desk Lamp,1400,1,0.1,1260.0,UPI,Desktop,35,2026-03-02 09:12,No
ORD0009,C010,37.0,Kochi,Grocery,Honey (500g),350,1,0.0,350.0,UPI,Tablet,28,2026-02-21 12:06,No
ORD0010,C001,50.0,Kochi,Home & Living,Cookware Set,4200,1,0.1,3780.0,Credit Card,Mobile App,49,2026-02-16 21:17,No
ORD0011,C021,23.0,Kochi,Grocery,Basmati Rice (5kg),650,3,0.05,1852.5,UPI,Mobile App,39,2026-02-26 15:40,No
ORD0012,C010,43.0,Madurai,Electronics,Wireless Mouse,1200,1,0.05,1140.0,Credit Card,Desktop,38,2026-03-15 12:43,Yes
ORD0013,C009,47.0,,Home & Living,Cookware Set,4200,1,0.05,3990.0,UPI,Mobile App,53,2026-02-17 12:56,No
ORD0014,C003,37.0,Madurai,Fashion,Denim Jeans,2200,1,0.05,2090.0,COD,Desktop,42,2026-03-01 19:03,No
ORD0015,C030,23.0,Chennai,Electronics,Laptop,55000,1,0.05,52250.0,UPI,Desktop,116,2026-03-12 11:31,No
ORD0016,C008,46.0,Chennai,Electronics,Smartphone,28000,2,0.05,53200.0,UPI,Mobile App,110,2026-02-10 16:45,No
ORD0017,C014,32.0,Hyderabad,Electronics,Wireless Mouse,1200,2,0.1,2160.0,COD,Mobile App,44,2026-03-10 21:42,No
ORD0018,C034,50.0,Coimbatore,Fashion,Denim Jeans,2200,1,0.0,2200.0,COD,Mobile App,44,2026-02-09 18:42,No
ORD0019,C029,23.0,Chennai,Electronics,Mechanical Keyboard,2800,1,0.0,2800.0,UPI,Mobile App,43,2026-02-19 19:33,No
ORD0020,C025,35.0,Bengaluru,Home & Living,Desk Lamp,1400,2,0.1,2520.0,UPI,Mobile App,46,2026-02-22 20:02,No
ORD0021,C016,21.0,Coimbatore,Fashion,Leather Jacket,4500,1,0.0,4500.0,UPI,Mobile App,53,2026-02-13 13:48,No
ORD0022,C020,43.0,Hyderabad,Grocery,Basmati Rice (5kg),650,2,0.05,1235.0,COD,Mobile App,37,2026-03-15 20:41,No
ORD0023,C004,44.0,chennai,Home & Living,Cookware Set,4200,1,0.0,4200.0,UPI,Mobile App,51,2026-03-03 09:54,No
ORD0024,C025,48.0,Bengaluru,Fashion,Leather Jacket,4500,3,0.0,13500.0,Debit Card,Mobile App,72,2026-02-27 20:42,No
ORD0025,C014,53.0,Chennai,Grocery,Honey (500g),350,1,0.0,350.0,UPI,Mobile App,25,2026-02-20 12:26,No
ORD0026,C001,28.0,Hyderabad,Home & Living,Memory Pillow,1800,1,0.05,1710.0,UPI,Desktop,37,2026-02-24 16:15,No
ORD0027,C040,44.0,Coimbatore,Home & Living,Desk Lamp,1400,3,0.0,4200.0,Credit Card,Desktop,52,2026-02-18 14:53,No
ORD0028,C015,26.0,Chennai,Home & Living,Cookware Set,4200,1,0.0,4200.0,Debit Card,Mobile App,49,2026-02-24 20:53,No
ORD0029,C011,25.0,Coimbatore,Fashion,Running Shoes,3200,1,0.1,2880.0,Credit Card,Mobile App,44,2026-03-08 18:46,No
ORD0030,C031,51.0,Hyderabad,Electronics,Smartphone,28000,1,0.05,26600.0,UPI,Mobile App,89,2026-02-09 11:10,No
ORD0031,C023,34.0,Kochi,Electronics,Smartphone,28000,1,0.1,25200.0,Debit Card,Mobile App,89,2026-02-03 11:17,Yes
ORD0032,C027,34.0,Madurai,Fashion,Cotton T-Shirt,850,1,0.1,765.0,COD,Mobile App,34,2026-03-17 15:20,No
ORD0033,C034,47.0,Coimbatore,Home & Living,Desk Lamp,1400,1,0.0,1400.0,UPI,Mobile App,34,2026-02-25 10:33,No
ORD0034,C037,39.0,Coimbatore,Fashion,Cotton T-Shirt,850,1,0.05,807.5,Credit Card,Mobile App,35,2026-02-26 21:00,No
ORD0035,C026,39.0,Chennai,Electronics,Smartphone,28000,1,0.0,,UPI,Mobile App,91,2026-03-08 19:52,No
ORD0036,C024,35.0,Bengaluru,Fashion,Leather Jacket,4500,1,0.0,4500.0,UPI,Desktop,51,2026-02-01 16:29,No
ORD0037,C027,24.0,Bengaluru,Home & Living,Memory Pillow,1800,2,0.0,3600.0,UPI,Mobile App,48,2026-03-04 09:51,No
ORD0038,C005,31.0,Madurai,Electronics,Laptop,55000,2,0.05,104500.0,COD,Mobile App,138,2026-02-18 21:13,No
ORD0039,C034,21.0,Coimbatore,Grocery,Organic Tea,400,2,0.1,720.0,Credit Card,Mobile App,33,2026-02-10 14:44,No
ORD0040,C039,34.0,Hyderabad,Grocery,Organic Tea,400,1,0.1,360.0,UPI,Tablet,27,2026-03-05 17:50,No
ORD0041,C024,54.0,Bengaluru,Fashion,Cotton T-Shirt,850,2,0.0,1700.0,UPI,Mobile App,41,2026-02-20 10:19,Yes
ORD0042,C015,26.0,Hyderabad,Fashion,Denim Jeans,2200,1,0.05,2090.0,UPI,Desktop,42,2026-02-06 16:21,No
ORD0043,C022,29.0,Chennai,Home & Living,Desk Lamp,1400,1,0.05,1330.0,UPI,Mobile App,37,2026-02-05 15:12,No
ORD0044,C006,30.0,Bengaluru,Fashion,Running Shoes,3200,1,0.05,3040.0,COD,Mobile App,50,2026-03-02 10:56,No
ORD0045,C011,31.0,Bengaluru,Electronics,Wireless Mouse,1200,1,0.1,1080.0,Debit Card,Tablet,38,2026-02-18 09:53,No
ORD0046,C004,28.0,Coimbatore,Home & Living,Desk Lamp,1400,1,0.05,1330.0,Debit Card,Mobile App,39,2026-02-03 17:13,No
ORD0047,C010,26.0,Madurai,Home & Living,Desk Lamp,1400,1,0.1,1260.0,UPI,Mobile App,39,2026-03-05 10:48,No
ORD0048,C030,48.0,Coimbatore,Fashion,Running Shoes,3200,1,0.1,2880.0,Debit Card,Tablet,43,2026-02-12 10:42,No
ORD0049,C004,33.0,Madurai,Electronics,Wireless Mouse,1200,1,0.05,1140.0,UPI,Desktop,32,2026-02-08 09:40,No
ORD0050,C036,38.0,Coimbatore,Home & Living,Desk Lamp,1400,3,0.1,3780.0,Debit Card,Mobile App,53,2026-02-05 12:20,No
ORD0051,C012,45.0,Bengaluru,Grocery,Basmati Rice (5kg),650,2,0.0,1300.0,Credit Card,Mobile App,33,2026-02-05 11:40,No
ORD0052,C004,41.0,Coimbatore,Fashion,Denim Jeans,2200,1,0.1,1980.0,Debit Card,Desktop,44,2026-02-08 21:31,No
